date,code,open,high,low,close,preclose,volume,amount,pctChg
2014-12-01,sh.000300,2825.6110,2855.3320,2808.6530,2819.8120,2808.8190,36548741700,338833084229.0000,0.391372
2014-12-02,sh.000300,2807.3380,2944.5060,2804.2930,2923.9400,2819.8120,36146532200,341185189116.0000,3.692726
2014-12-03,sh.000300,2936.1240,3028.2250,2912.2460,2967.5490,2923.9400,46615668500,464857500377.0000,1.491451
2014-12-04,sh.000300,2975.4030,3104.8900,2968.8760,3104.3510,2967.5490,42681292800,433875560243.0000,4.609932
2014-12-05,sh.000300,3143.9680,3195.7980,3011.9360,3124.8850,3104.3510,52488126000,554362904944.0000,0.661457
2014-12-08,sh.000300,3108.2720,3270.8810,3075.7000,3252.8810,3124.8850,48446234400,515773683037.0000,4.096025
2014-12-09,sh.000300,3233.0970,3387.8270,3074.5160,3106.9130,3252.8810,63287456700,702150099247.0000,-4.487346
2014-12-10,sh.000300,3120.2120,3229.0470,3058.1910,3221.5460,3106.9130,42501870800,477300103105.0000,3.689605
2014-12-11,sh.000300,3185.1610,3254.4240,3158.4430,3183.0120,3221.5460,36709169100,392944833604.0000,-1.196132
2014-12-12,sh.000300,3182.9230,3239.4470,3167.9280,3193.2270,3183.0120,30106532500,337817436996.0000,0.320925
2014-12-15,sh.000300,3176.8290,3226.2210,3143.2970,3217.2280,3193.2270,29019383400,326668040798.0000,0.751621
2014-12-16,sh.000300,3221.3580,3303.4020,3207.6880,3303.4020,3217.2280,35812384700,425665729151.0000,2.678519
2014-12-17,sh.000300,3325.8200,3368.1940,3275.7360,3360.5980,3303.4020,44814077000,527748937956.0000,1.731421
2014-12-18,sh.000300,3359.0900,3393.7110,3322.2290,3345.9270,3360.5980,35597020700,416260448852.0000,-0.436556
2014-12-19,sh.000300,3345.6290,3397.1830,3280.9160,3383.1670,3345.9270,41121159000,435516864940.0000,1.112995
2014-12-22,sh.000300,3396.2510,3455.2070,3357.6610,3394.4810,3383.1670,54980167100,537021101759.0000,0.334419
2014-12-23,sh.000300,3358.7980,3431.7790,3316.9130,3324.9240,3394.4810,36973609300,377227774057.0000,-2.049117
2014-12-24,sh.000300,3332.1460,3340.3570,3188.4950,3230.3850,3324.9240,31744958700,339475799573.0000,-2.843345
2014-12-25,sh.000300,3254.4800,3335.7790,3226.3220,3335.4190,3230.3850,30979954700,330128939928.0000,3.251437
2014-12-26,sh.000300,3343.6400,3453.3380,3335.0120,3445.8390,3335.4190,38461412400,438838427110.0000,3.310534
2014-12-29,sh.000300,3502.1830,3524.2800,3405.8360,3455.4550,3445.8390,42501503700,505004508391.0000,0.279060
2014-12-30,sh.000300,3450.8140,3491.8260,3422.1740,3457.5540,3455.4550,32823387300,394607772399.0000,0.060741
2014-12-31,sh.000300,3462.3890,3542.3400,3452.4980,3533.7050,3457.5540,34593476000,403710888146.0000,2.202456
2015-01-05,sh.000300,3566.0890,3669.0420,3551.5100,3641.5410,3533.7050,45119809800,519849817448.0000,3.051639
2015-01-06,sh.000300,3608.4280,3683.2260,3587.2310,3641.0590,3641.5410,42096218500,498529588258.0000,-0.013234
2015-01-07,sh.000300,3620.9240,3671.1900,3601.6980,3643.7900,3641.0590,32019123200,398731720502.0000,0.075004
2015-01-08,sh.000300,3650.0730,3659.9450,3552.1000,3559.2590,3643.7900,29500304500,355831967325.0000,-2.319865
2015-01-09,sh.000300,3547.5740,3689.7530,3536.3950,3546.7230,3559.2590,34998267200,430210592272.0000,-0.352212
2015-01-12,sh.000300,3531.5150,3560.5270,3461.3220,3513.5760,3546.7230,26656717500,334257133083.0000,-0.934580
2015-01-13,sh.000300,3506.4510,3550.1580,3494.7680,3514.0400,3513.5760,18715396500,250796676069.0000,0.013209
2015-01-14,sh.000300,3522.9070,3547.2420,3471.5600,3502.4230,3514.0400,19601251000,241285837533.0000,-0.330587
2015-01-15,sh.000300,3501.7190,3604.1210,3482.2700,3604.1210,3502.4230,23781233800,303445351108.0000,2.903647
2015-01-16,sh.000300,3616.2480,3662.1580,3601.2580,3635.1460,3604.1210,28268161400,355568710742.0000,0.860817
2015-01-19,sh.000300,3414.0130,3497.2520,3330.9810,3355.1550,3635.1460,32950527500,366017532103.0000,-7.702331
2015-01-20,sh.000300,3336.7930,3419.2040,3325.6810,3396.2220,3355.1550,29784323200,381917903845.0000,1.223994
