date,code,open,high,low,close,preclose,volume,amount,pctChg
2015-01-09,sh.000905,5424.5010,5497.6890,5409.0580,5409.0580,5444.0370,9064080896,105390252032.0000,-0.642520
2015-01-12,sh.000905,5386.5840,5386.5840,5303.7320,5332.2210,5409.0580,7802642944,89363509248.0000,-1.420523
2015-01-13,sh.000905,5333.9680,5407.6290,5333.9680,5405.0910,5332.2210,6869376512,84711071744.0000,1.366590
2015-01-14,sh.000905,5404.3740,5417.8020,5350.1650,5379.7380,5405.0910,6708649728,83215912960.0000,-0.469058
2015-01-15,sh.000905,5380.4470,5449.2550,5380.3360,5449.0380,5379.7380,6788551424,81580601344.0000,1.288172
2015-01-16,sh.000905,5459.1850,5520.7850,5454.2390,5520.1230,5449.0380,8450684416,104671600640.0000,1.304541
2015-01-19,sh.000905,5359.4700,5475.6600,5222.0400,5281.8950,5520.1230,10533627136,121918328832.0000,-4.315629
2015-01-20,sh.000905,5303.1810,5472.7360,5303.1810,5472.5140,5281.8950,9193795328,113837154304.0000,3.608916
2015-01-21,sh.000905,5490.8400,5611.9820,5490.5260,5611.6940,5472.5140,11016742912,137794973696.0000,2.543250
2015-01-22,sh.000905,5617.6090,5690.4300,5610.0900,5690.1560,5611.6940,10541262080,134778392576.0000,1.398186
2015-01-23,sh.000905,5697.8370,5699.7260,5611.0660,5633.2890,5690.1560,9944033792,124087906304.0000,-0.999387
2015-01-26,sh.000905,5644.0310,5759.3670,5636.2040,5758.9790,5633.2890,10129879296,126015651840.0000,2.231200
2015-01-27,sh.000905,5767.7370,5783.9900,5670.4310,5773.8160,5758.9790,11431798784,139606298624.0000,0.257631
2015-01-28,sh.000905,5756.6820,5798.5710,5722.4940,5739.9190,5773.8160,10238641408,123833495552.0000,-0.587081
2015-01-29,sh.000905,5692.3870,5739.4860,5670.5050,5701.2050,5739.9190,8453858048,102904619008.0000,-0.674467
2015-01-30,sh.000905,5708.2840,5735.9320,5631.5650,5632.7280,5701.2050,8059327232,100020596736.0000,-1.201098
2015-02-02,sh.000905,5568.4350,5652.6670,5539.5230,5609.3890,5632.7280,7187186432,87828910080.0000,-0.414344
2015-02-03,sh.000905,5627.3990,5708.2810,5627.3990,5707.4760,5609.3890,7543255808,98565931008.0000,1.748620
2015-02-04,sh.000905,5720.9750,5734.3280,5680.8330,5683.5190,5707.4760,8092671488,104846864384.0000,-0.419748
2015-02-05,sh.000905,5741.1930,5745.1360,5654.2170,5654.2170,5683.5190,8832435456,114976817152.0000,-0.515565
2015-02-06,sh.000905,5640.0250,5657.6620,5510.7630,5534.7850,5654.2170,7627760896,95597146112.0000,-2.112258
2015-02-09,sh.000905,5526.1440,5551.8980,5492.5460,5504.9740,5534.7850,5587343872,71258537984.0000,-0.538612
2015-02-10,sh.000905,5502.7250,5581.3410,5500.5350,5580.7040,5504.9740,5497377024,72864169984.0000,1.375665
2015-02-11,sh.000905,5587.6390,5642.2970,5587.4400,5641.7860,5580.7040,5805956608,78478438400.0000,1.094522
2015-02-12,sh.000905,5647.5460,5689.7430,5640.8580,5681.3410,5641.7860,6269177344,86260854784.0000,0.701102
2015-02-13,sh.000905,5709.1560,5789.3820,5709.1560,5769.2720,5681.3410,8230636800,110777389056.0000,1.547718
2015-02-16,sh.000905,5786.1530,5870.0820,5786.0380,5869.7130,5769.2720,8230557440,113009192960.0000,1.740963
2015-02-17,sh.000905,5888.8710,5914.2850,5877.9480,5911.0980,5869.7130,8093887232,107302051840.0000,0.705064
2015-02-25,sh.000905,5926.2340,5952.7090,5887.3660,5906.5380,5911.0980,8355061504,109965828096.0000,-0.077144
2015-02-26,sh.000905,5903.2620,5970.0600,5897.7150,5969.5570,5906.5380,9092074496,113711185920.0000,1.066937
2015-02-27,sh.000905,5974.3590,6025.1150,5970.6810,6018.4630,5969.5570,9656068096,125337251840.0000,0.819253
2015-03-02,sh.000905,6064.8210,6139.7920,6039.2540,6139.7920,6018.4630,12723533056,168615018496.0000,2.015948
2015-03-03,sh.000905,6124.2760,6199.4970,6099.1310,6118.6560,6139.7920,14695326208,191869231104.0000,-0.344250
2015-03-04,sh.000905,6114.6940,6211.0890,6114.2140,6210.4210,6118.6560,11922633472,159432392704.0000,1.499760
2015-03-05,sh.000905,6212.6600,6217.7880,6161.3770,6208.9880,6210.4210,12095908864,160069238784.0000,-0.023076
2015-03-06,sh.000905,6214.3320,6234.1140,6129.6220,6133.0260,6208.9880,10931372544,143376388096.0000,-1.223419
2015-03-09,sh.000905,6113.5810,6212.5700,6080.5430,6212.2360,6133.0260,9870221568,127801028608.0000,1.291532
2015-03-10,sh.000905,6214.5190,6299.2810,6205.9240,6276.4850,6212.2360,10291505920,135647657984.0000,1.034234
2015-03-11,sh.000905,6275.1730,6281.1910,6236.7930,6262.8920,6276.4850,9946245376,131495190528.0000,-0.216567
2015-03-12,sh.000905,6273.6920,6288.5170,6220.6310,6260.1370,6262.8920,10182147328,135322669056.0000,-0.043987
2015-03-13,sh.000905,6271.8180,6329.7010,6271.8180,6329.5760,6260.1370,9522982912,127280144384.0000,1.109224
2015-03-16,sh.000905,6369.1970,6517.0310,6369.1970,6516.7650,6329.5760,13705831936,189423837184.0000,2.957370
2015-03-17,sh.000905,6547.3900,6635.0960,6525.8290,6618.0540,6516.7650,17258333696,235496439808.0000,1.554284
2015-03-18,sh.000905,6624.3880,6728.5060,6612.4570,6728.0680,6618.0540,16461634816,221265199104.0000,1.662327
2015-03-19,sh.000905,6733.1200,6783.1400,6687.4420,6782.4630,6728.0680,16687298816,226098982912.0000,0.808479
2015-03-20,sh.000905,6789.0580,6862.3750,6786.3350,6850.8970,6782.4630,15216231936,218477064192.0000,1.008986
2015-03-23,sh.000905,6891.9220,7017.4810,6891.9220,7017.1540,6850.8970,17177812992,249560698880.0000,2.426789
2015-03-24,sh.000905,7042.9260,7055.1000,6801.5450,7046.1230,7017.1540,19706688000,287241224192.0000,0.412835
2015-03-25,sh.000905,7051.8210,7170.8260,7001.5140,7124.8720,7046.1230,16957544704,255698440192.0000,1.117622
2015-03-26,sh.000905,7104.0360,7171.6210,6995.6450,7074.4370,7124.8720,16392637952,246538403840.0000,-0.707873
2015-03-27,sh.000905,7076.4880,7167.3700,7060.4320,7155.9450,7074.4370,12646098176,189864132608.0000,1.152146
2015-03-30,sh.000905,7180.0630,7259.5410,7180.0630,7245.4970,7155.9450,16321954560,238312214528.0000,1.251438
