,Strategy,沪深300,中证500
2015-01-05,0.0,0.0,0.0
2015-01-06,0.0,-0.013236154693849964,1.1601772709961913
2015-01-07,-0.03588087549335323,0.061759568270679806,1.31483803724449
2015-01-08,-2.3179045568711825,-2.2595379263888598,0.4987985084780136
2015-01-09,-2.676713311804796,-2.603787792036399,-0.14692588190141978
2015-01-12,-3.56655902404018,-3.5140343058062546,-1.5653633724981901
2015-01-13,-3.5593828489415,-3.5012924473457856,-0.22015806854583392
2015-01-14,-3.8966630785791203,-3.8203057441890778,-0.6881831827369111
2015-01-15,-1.2127735916756326,-1.027586947393976,0.591118691338789
2015-01-16,-0.40904198062432695,-0.175612467359285,1.9033722803528172
2015-01-19,-7.900968783638311,-7.864417838492001,-2.494398669969088
2015-01-20,-6.781485468245414,-6.736680982034802,1.0244937388972621
2015-01-21,-2.762827412988874,-2.5444173222270448,3.593804486860584
2015-01-22,-2.2604951560818125,-2.030129552296688,5.04224003727513
2015-01-23,-2.138500179404381,-1.9170180975581546,3.992455626408408
2015-01-26,-1.2271259418729692,-0.9214780226283334,6.312736327022796
2015-01-27,-2.1026193039110046,-1.8291706725257282,6.586632458417611
2015-01-28,-3.415859346968052,-3.1914510917218917,5.960882160790709
2015-01-29,-4.564047362755647,-4.38668684493736,5.2462083836916165
2015-01-30,-5.762468604233943,-5.688553280053699,3.9820993731420864
2015-02-02,-6.155820303710328,-7.897233616208086,3.551253392780571
2015-02-03,-4.5228147634599,-5.604660224888309,5.361973204071536
2015-02-04,-4.928086211405252,-6.58438282034996,4.919718730807018
2015-02-05,-5.422755772867974,-7.540626344726045,4.378793716172569
2015-02-06,-7.419313641422346,-9.037959479242442,2.174037851459577
2015-02-09,-7.919943077119556,-8.117991806216114,1.6237165214729867
2015-02-10,-6.662409613642026,-6.442272653253113,3.021718410704635
2015-02-11,-5.643271119544131,-5.695857879946988,4.149313173652589
2015-02-12,-4.98172507951567,-5.4555749887204446,4.879512100478927
2015-02-13,-3.5155960178309704,-4.715393840135266,6.502748652994815
2015-02-16,-1.8468312321735896,-3.9010407956411854,8.356924115246452
2015-02-17,-1.1614456952071632,-3.273861258187126,9.12090547251375
2015-02-25,-1.2508438087245217,-4.4709643527287035,9.036726301578891
2015-02-26,-0.20190594345416174,-2.0663230209408625,10.20007875182965
2015-02-27,0.6145968266710407,-1.8865090355978504,11.10290036010594
2015-03-02,2.6290343179288787,-1.106015283090326,13.342675498341626
2015-03-03,2.277401738093933,-3.66990238473218,12.952497656920777
2015-03-04,3.803129542123538,-3.0404435924241975,14.646511170262167
2015-03-05,3.779290045185585,-3.987240566562346,14.620057496589
2015-03-06,2.5157967074735557,-4.476703681216281,13.217772807432578
2015-03-09,3.8329289132959907,-2.8501944643764867,14.68001669553557
2015-03-10,4.899746401269827,-3.3208468612601174,15.86607536952533
2015-03-11,4.67327118035917,-3.2098498959643833,15.615143906692559
2015-03-12,4.625592186483252,-1.337263537606747,15.564285657586083
2015-03-13,5.787767662208923,-0.6558761798919747,16.846153519547755
2015-03-16,8.898822012613039,1.761067635926649,20.301726946767946
2015-03-17,10.585466420973884,3.1739584972405823,22.171556781158344
2015-03-18,12.421107685197029,5.616138881863465,24.202453121339666
2015-03-19,13.332968443074078,5.442695825750689,25.206603560594324
2015-03-20,14.483224170330772,6.893592575231197,26.46991877633022
2015-03-23,17.254565689368917,9.076377280936834,29.539080272408242
2015-03-24,17.737315502362677,9.103426269263469,30.073857992323077
2015-03-25,19.05444770818511,8.207267198144951,31.52759166161008
2015-03-26,18.21410544112192,8.47053486422368,30.596544186588304
2015-03-27,19.572956766585776,9.066381512661808,32.10120994635977
2015-03-30,21.062925325208436,12.265054821571407,33.75437071731547
2015-03-31,21.188082684132738,11.249715436404534,33.89479855795174
2015-04-01,24.078621687860718,13.245875853107249,37.0815893692045
2015-04-02,26.337414022732666,13.270068907641015,39.572166747861424
2015-04-03,28.31609226858355,14.526734698304903,41.75717004395594
2015-04-07,31.397347247815226,16.984650179690405,45.158931566949114
2015-04-08,30.4616469930002,17.966624569104113,44.138314500397556
2015-04-09,29.424628876198827,17.04215330817365,42.99661603424911
2015-04-10,32.86347630949991,19.301581390955093,46.80014849501119
2015-04-13,35.70633631935194,21.406651744412603,49.951403143095185
2015-04-14,35.658657325476014,21.8765352360443,49.897240492322624
2015-04-15,30.36628900524832,20.292837565195608,44.041397691755456
2015-04-16,32.20193026947146,23.946043721600283,46.05987022008607
2015-04-17,33.37602549366611,26.214039605760316,47.32757899781375
2015-04-20,31.039754793745793,24.17597385282768,44.72727333142946
2015-04-21,35.76593506169687,26.846409253664852,49.762996867094934
2015-04-22,39.312060231218794,30.159567062405728,53.65332986771133
2015-04-23,40.81990841254494,30.189169914604822,55.26447489457758
2015-04-24,41.07022313039354,29.138762957769785,55.41939410564891
2015-04-27,42.661509551002524,32.020812068297445,57.15320812173932
2015-04-28,38.63263456848686,30.2157795285018,52.602124010317866
2015-04-29,41.439735332931974,31.107297707206914,55.58847240095427
2015-04-30,42.274117725760654,30.436153265883874,56.353081409934674
2015-05-04,42.84030577803726,31.475685705584524,57.106411148423575
2015-05-05,37.7088540621408,26.233289697960295,51.36271494071367
2015-05-06,35.789774558634825,25.038465858272637,49.214946159482245
2015-05-07,32.80983744138952,22.75267530971091,45.90092665391304
2015-05-08,37.792292301423664,25.17788485698775,51.398694152150526
2015-05-11,43.764086284383296,28.80623889721412,57.98765261397557
2015-05-12,46.893020257490896,30.368462142812618,61.448228794556115
2015-05-13,48.210152463313335,29.572507902561018,62.911229556783745
2015-05-14,48.0373161105131,29.08760329761494,62.69828948293869
2015-05-15,46.88110050902192,26.799890485923406,61.39666905235853
2015-05-18,49.56900378877719,25.637470510424027,64.36343101747696
2015-05-19,53.28200543686487,29.923622993672172,68.44754225434406
2015-05-20,55.83879148346134,30.574363984917365,71.26272633074625
2015-05-21,61.59602999397931,32.937566815806804,77.5741704336538
2015-05-22,64.26605365103113,35.968124483563415,80.50840527175751
2015-05-25,68.64060133914727,40.036731702320516,85.3435202437061
2015-05-26,74.24288311956846,42.76697694739671,91.49986053209727
2015-05-27,76.31095947893672,42.2868505393733,93.78451276782039
2015-05-28,65.72622283848133,32.746191790783065,82.17452520455446
2015-05-29,67.42478699531117,32.93353006323421,83.991392310565
2015-06-01,76.17388237154344,39.396453314681885,93.61781585695596
2015-06-02,82.92641987922134,41.74960545549259,100.96669440025755
2015-06-03,84.50578655136135,41.247620169593034,102.6943980423174
2015-06-04,84.44618780901646,42.28635624313992,102.42524621945991
2015-06-05,87.4738039201377,43.63567511666076,105.73167852343828
2015-06-08,85.56664416510067,47.01883076422866,103.63458338786828
2015-06-09,85.28057020184514,46.02227463593022,103.31743466930233
2015-06-10,88.73133738361523,45.793003566347316,106.90464881317521
2015-06-11,91.32984254985314,45.723747171870365,109.8256291239256
2015-06-12,94.4706962714297,46.50706939726889,113.14110699671055
2015-06-15,90.81729336568695,43.377954552756655,109.20905361751679
2015-06-16,83.21845371671135,39.084552391418896,100.8455945403162
2015-06-17,86.99105410714397,41.11693373766765,104.91997717563005
2015-06-18,80.86430339408757,35.39732217761656,98.10497179536264
2015-06-19,68.42008599247109,27.337629866037467,84.37097391424099
2015-06-23,69.2961875049412,31.43037521752467,85.46886598288319
2015-06-24,72.99726940455992,34.01266112340902,89.54398703197718
2015-06-25,72.99726940455992,29.245173952455826,82.87009252509267
2015-06-26,72.99726940455992,19.075825316809546,67.58418886261573
2015-06-29,72.99726940455992,15.10371570716902,56.62945122749293
2015-06-30,72.99726940455992,22.83255907320553,64.40821581324188
2015-07-01,72.99726940455992,16.79179226596651,55.28675653039302
2015-07-02,72.99726940455992,12.809274974523145,44.63871905884734
2015-07-03,72.99726940455992,6.710785351586039,35.78489785060671
2015-07-06,72.99726940455992,9.803432118435564,33.57903436522352
2015-07-07,72.99726940455992,7.866477406131079,24.857020016736147
2015-07-08,72.99726940455992,0.5903270071653688,21.882098579347268
2015-07-09,72.99726940455992,7.032325051399944,27.30903373572577
2015-07-10,72.99726940455992,12.769731275852706,33.74120849168463
2015-07-13,72.99726940455992,15.660155961445986,42.064073271322584
2015-07-14,72.99726940455992,12.923320099924734,45.08091815107836
2015-07-15,72.99726940455992,8.93077957930447,36.70427838790242
2015-07-16,72.99726940455992,9.770973332443596,39.906483586815405
2015-07-17,72.99726940455992,14.00382420519225,47.584860819155644
2015-07-20,72.99726940455992,14.254157786497526,49.83331231930784
2015-07-21,72.99726940455992,14.402281891100502,51.752578956277965
2015-07-22,72.99726940455992,14.159362753295916,53.59442290840145
2015-07-23,72.99726940455992,16.730938907457038,57.87270004875378
2015-07-24,72.99726940455992,14.684387735851397,55.52976850543391
2015-07-27,72.99726940455992,4.865797199592152,43.88326638074054
2015-07-28,72.99726940455992,4.65605083122776,41.21831258790585
2015-07-29,72.99726940455992,7.9317519698391346,48.103559579008156
2015-07-30,72.99726940455992,4.77465446633718,44.00139412521689
2015-07-31,72.99726940455992,4.80999664702388,42.64420805768193
2015-08-03,68.78766654478652,5.15424651267142,39.19478192518134
2015-08-04,77.9031975494086,8.41992442210591,46.613809777595314
2015-08-05,75.61640201092267,6.188561381019737,44.71686169712963
2015-08-06,74.57982687064013,5.22611169282454,43.84352125902504
2015-08-07,79.58862125078406,7.288233195781676,47.9286293544953
2015-08-10,88.22147222825166,12.160346402800343,54.95771934996696
2015-08-11,89.076053259935,11.674398283583782,55.71904241762578
2015-08-12,86.9000367440747,10.28644192115371,53.89165291524838
2015-08-13,91.37867437308175,11.915889454491932,57.54849947858757
2015-08-14,93.45182465364681,11.863082140225794,59.224938743961864
2015-08-17,97.81177047269784,11.98204276705932,62.82867489616519
2015-08-18,83.03068373950852,5.049263484881802,50.659837323752186
2015-08-19,83.03068373950852,6.716799289092166,53.977401215466
