open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
5.67,5.71,5.71,5.66,1716813.75,0.03,0.53,5.65,5.631,5.548,1915819.82,2057703.58,2062524.63
5.59,5.69,5.68,5.55,2117615.0,0.08,1.43,5.624,5.628,5.529,1973864.05,2165883.08,2073218.16
5.66,5.69,5.6,5.6,1723508.75,-0.05,-0.89,5.588,5.619,5.51,2110963.45,2226930.78,2053688.59
5.6,5.65,5.65,5.59,1860776.12,0.04,0.71,5.594,5.609,5.495,2264789.55,2347930.75,2094812.61
5.57,5.62,5.61,5.57,2160385.5,0.03,0.54,5.6,5.587,5.477,2218576.78,2328008.76,2073843.02
5.51,5.59,5.58,5.51,2007034.88,0.08,1.46,5.612,5.57,5.461,2199587.33,2242712.91,2055577.64
5.61,5.62,5.5,5.49,2803112.0,-0.13,-2.31,5.632,5.558,5.446,2357902.1,2214742.43,2047892.78
5.68,5.7,5.63,5.62,2492639.25,-0.05,-0.88,5.65,5.551,5.436,2342898.1,2131575.91,1996393.93
5.67,5.7,5.68,5.65,1629712.25,0.01,0.18,5.624,5.53,5.419,2431071.95,2071094.13,2003122.24
5.66,5.71,5.67,5.66,2065438.25,-0.01,-0.18,5.574,5.499,5.402,2437440.75,2127114.7,1983774.82
5.59,5.7,5.68,5.58,2798608.75,0.09,1.61,5.528,5.464,5.386,2285838.5,2067345.69,1998057.74
5.5,5.6,5.59,5.5,2728092.0,0.09,1.64,5.484,5.429,5.37,2071582.75,1980553.25,1963688.93
5.47,5.51,5.5,5.45,2933508.5,0.07,1.29,5.452,5.401,5.355,1920253.73,1880446.4,1894716.18
5.44,5.46,5.43,5.42,1661556.25,-0.01,-0.18,5.436,5.38,5.344,1711116.3,1841694.48,1819237.88
5.45,5.46,5.44,5.41,1307427.0,-0.02,-0.37,5.424,5.366,5.337,1816788.65,1819677.28,1816401.37
5.42,5.47,5.46,5.41,1727330.0,0.03,0.55,5.4,5.352,5.329,1848852.88,1868442.36,1820766.99
5.42,5.45,5.43,5.41,1971446.88,0.01,0.18,5.374,5.334,5.319,1889523.75,1881043.13,1837912.41
5.37,5.42,5.42,5.36,1887821.38,0.05,0.93,5.35,5.32,5.311,1840639.08,1861211.95,1862441.06
5.33,5.39,5.37,5.32,2189918.0,0.05,0.94,5.324,5.307,5.31,1972272.65,1935150.36,1879183.82
5.3,5.33,5.32,5.3,1467748.12,-0.01,-0.19,5.308,5.305,5.312,1822565.9,1840434.94,1860536.08
5.28,5.33,5.33,5.26,1930684.38,0.02,0.38,5.304,5.307,5.314,1888031.85,1928769.8,1891545.03
5.3,5.33,5.31,5.28,1727023.5,0.02,0.38,5.294,5.311,5.319,1872562.5,1946824.61,1912136.64
5.29,5.31,5.29,5.24,2545989.25,0.0,0.0,5.29,5.309,5.322,1881784.82,1908985.95,1927884.36
5.29,5.32,5.29,5.27,1441384.25,-0.01,-0.19,5.29,5.307,5.326,1898028.07,1796781.28,1901145.01
5.26,5.34,5.3,5.26,1795077.88,0.02,0.38,5.302,5.308,5.328,1858303.97,1813125.46,1899110.82
5.3,5.32,5.28,5.27,1853337.62,-0.01,-0.19,5.31,5.305,5.33,1969507.75,1773091.62,1903752.8
5.29,5.31,5.29,5.25,1773135.12,0.0,0.0,5.328,5.304,5.336,2021086.72,1794781.69,1895326.31
5.35,5.43,5.29,5.27,2627205.5,-0.06,-1.12,5.328,5.302,5.346,1936187.08,1863670.18,1964751.24
5.33,5.37,5.35,5.31,1242763.75,0.01,0.19,5.324,5.312,5.351,1695534.48,1823217.28,1939077.48
5.37,5.39,5.34,5.33,2351096.75,-0.03,-0.56,5.314,5.318,5.352,1767946.95,1880637.23,1966078.36
5.29,5.38,5.37,5.28,2111232.5,0.08,1.51,5.3,5.321,5.353,1576675.5,1854320.26,1908074.06
5.26,5.3,5.29,5.25,1348636.88,0.02,0.38,5.28,5.326,5.355,1568476.65,1877448.66,1890730.16
5.3,5.34,5.27,5.26,1423942.5,-0.03,-0.57,5.276,5.335,5.358,1791153.27,1946782.76,1902518.16
5.26,5.31,5.3,5.26,1604826.12,0.03,0.57,5.3,5.345,5.362,1950900.07,2005508.74,1915567.94
5.27,5.27,5.27,5.24,1394739.5,0.0,0.0,5.322,5.347,5.369,1993327.5,1985096.19,1890181.78
5.27,5.28,5.27,5.21,2070238.25,0.0,0.0,5.342,5.354,5.377,2131965.02,2034413.98,1886507.36
5.36,5.36,5.27,5.26,2462020.0,-0.12,-2.23,5.372,5.368,5.387,2186420.67,1995870.94,1845561.59
5.45,5.46,5.39,5.39,2222676.5,-0.02,-0.37,5.394,5.389,5.4,2102412.25,2065832.31,1829260.09
5.37,5.43,5.41,5.36,1816963.25,0.04,0.74,5.39,5.39,5.404,2060117.4,2054937.69,1832697.63
5.42,5.43,5.37,5.35,2087927.12,-0.05,-0.92,5.372,5.385,5.406,1976864.87,2051519.49,1837633.5
5.38,5.45,5.42,5.37,2342516.5,0.04,0.74,5.366,5.385,5.406,1936862.93,1961827.85,1823354.28
5.36,5.41,5.38,5.36,2041977.88,0.01,0.19,5.364,5.383,5.402,1805321.2,1904011.66,1789164.35
5.31,5.37,5.37,5.29,2011202.25,0.05,0.94,5.384,5.38,5.4,2029252.38,1858253.55,1768057.19
5.35,5.36,5.32,5.31,1400700.62,-0.02,-0.38,5.39,5.379,5.401,2049757.98,1825627.14,1752593.22
5.39,5.39,5.34,5.34,1887917.38,-0.07,-1.29,5.398,5.391,5.404,2126174.1,1795267.36,1833293.71
5.48,5.48,5.41,5.41,1684807.88,-0.07,-1.28,5.404,5.4,5.412,1986792.78,1738600.74,1837548.22
