,510300.XSHG,510500.XSHG
2018-04-25,1.5196,1.7576
2018-04-26,1.4924,1.725
2018-04-27,1.4929,1.7293
2018-05-02,1.4954,1.7274
2018-05-03,1.5062,1.744
2018-05-04,1.5001,1.7442
2018-05-07,1.5223,1.7768
2018-05-08,1.5387,1.7835
2018-05-09,1.5361,1.7797
2018-05-10,1.544,1.7831
2018-05-11,1.5365,1.7691
2018-05-14,1.55,1.7621
2018-05-15,1.5555,1.778
2018-05-16,1.5438,1.7738
2018-05-17,1.5331,1.7653
2018-05-18,1.5476,1.7721
2018-05-21,1.5544,1.795
2018-05-22,1.549,1.8013
2018-05-23,1.5298,1.7784
2018-05-24,1.5197,1.7724
2018-05-25,1.5167,1.7514
2018-05-28,1.523,1.7435
2018-05-29,1.5122,1.7269
2018-05-30,1.4824,1.6817
2018-05-31,1.5121,1.7031
2018-06-01,1.5004,1.6831
2018-06-04,1.5142,1.6826
2018-06-05,1.5288,1.7106
2018-06-06,1.5259,1.7104
2018-06-07,1.5255,1.6992
2018-06-08,1.5072,1.6789
2018-06-11,1.5073,1.6682
2018-06-12,1.5243,1.6865
2018-06-13,1.5105,1.6613
2018-06-14,1.5051,1.6557
2018-06-15,1.5,1.626
2018-06-19,1.451,1.5238
2018-06-20,1.4566,1.5415
2018-06-21,1.441,1.5093
2018-06-22,1.4477,1.5309
2018-06-25,1.4297,1.5206
2018-06-26,1.4189,1.5311
2018-06-27,1.3922,1.5161
2018-06-28,1.3793,1.5005
2018-06-29,1.413,1.5495
2018-07-02,1.3748,1.5255
2018-07-03,1.3754,1.5431
2018-07-04,1.3586,1.521
2018-07-05,1.3513,1.4805
2018-07-06,1.3603,1.4849
2018-07-09,1.3957,1.5185
2018-07-10,1.3994,1.5275
2018-07-11,1.3772,1.4977
2018-07-12,1.4067,1.5391
2018-07-13,1.4125,1.5488
2018-07-16,1.4062,1.5462
2018-07-17,1.3993,1.5463
2018-07-18,1.3928,1.5353
2018-07-19,1.3918,1.5217
2018-07-20,1.4162,1.5412
2018-07-23,1.4287,1.5527
2018-07-24,1.4497,1.5799
2018-07-25,1.4484,1.5811
2018-07-26,1.4328,1.5705
2018-07-27,1.4276,1.5635
2018-07-30,1.4253,1.5441
2018-07-31,1.4264,1.5447
2018-08-01,1.4002,1.5197
2018-08-02,1.3715,1.4863
2018-08-03,1.3507,1.4671
2018-08-06,1.3349,1.4357
2018-08-07,1.3709,1.475
2018-08-08,1.351,1.4523
2018-08-09,1.3823,1.4897
2018-08-10,1.3851,1.4977
2018-08-13,1.3795,1.5053
2018-08-14,1.373,1.5001
2018-08-15,1.3427,1.469
2018-08-16,1.3369,1.4561
2018-08-17,1.3194,1.4304
2018-08-20,1.3335,1.4393
2018-08-21,1.3559,1.4573
2018-08-22,1.349,1.4411
2018-08-23,1.3541,1.4492
2018-08-24,1.3566,1.4458
2018-08-27,1.3872,1.4783
2018-08-28,1.3848,1.4824
2018-08-29,1.3797,1.4728
2018-08-30,1.3663,1.4508
2018-08-31,1.3601,1.4352
2018-09-03,1.3552,1.4421
2018-09-04,1.371,1.4575
2018-09-05,1.3462,1.4351
2018-09-06,1.3337,1.4284
2018-09-07,1.3393,1.4278
2018-09-10,1.3213,1.4019
2018-09-11,1.3191,1.4013
2018-09-12,1.3109,1.3986
2018-09-13,1.3238,1.4068
2018-09-14,1.326,1.3919
2018-09-17,1.312,1.3717
2018-09-18,1.3363,1.3959
2018-09-19,1.3526,1.4121
2018-09-20,1.3517,1.4112
2018-09-21,1.3896,1.4331
2018-09-25,1.3779,1.4294
2018-09-26,1.3921,1.4366
2018-09-27,1.387,1.419
2018-09-28,1.4004,1.4326
2018-10-08,1.3442,1.3865
2018-10-09,1.3434,1.3828
2018-10-10,1.3406,1.3816
2018-10-11,1.2812,1.2853
2018-10-12,1.2989,1.2767
2018-10-15,1.2821,1.2533
2018-10-16,1.2726,1.2237
2018-10-17,1.2791,1.2338
2018-10-18,1.251,1.2
2018-10-19,1.2853,1.2327
2018-10-22,1.3365,1.2941
2018-10-23,1.3034,1.2701
2018-10-24,1.3052,1.2677
2018-10-25,1.3075,1.2643
2018-10-26,1.2998,1.264
2018-10-29,1.2628,1.2429
2018-10-30,1.2752,1.2556
2018-10-31,1.2918,1.2761
2018-11-01,1.3006,1.2844
2018-11-02,1.3436,1.3265
2018-11-05,1.3331,1.3276
2018-11-06,1.3257,1.3273
2018-11-07,1.3178,1.3209
2018-11-08,1.3144,1.3117
2018-11-09,1.2971,1.3083
2018-11-12,1.3111,1.3424
2018-11-13,1.3234,1.3671
2018-11-14,1.311,1.3618
2018-11-15,1.3253,1.3844
2018-11-16,1.331,1.3964
2018-11-19,1.345,1.3997
2018-11-20,1.3162,1.3599
2018-11-21,1.3193,1.3649
2018-11-22,1.3146,1.3641
2018-11-23,1.2879,1.3112
2018-11-26,1.287,1.3086
2018-11-27,1.2855,1.3144
2018-11-28,1.3013,1.3311
2018-11-29,1.2857,1.3027
2018-11-30,1.2989,1.3117
2018-12-03,1.3322,1.3537
2018-12-04,1.3347,1.3602
2018-12-05,1.3288,1.3504
2018-12-06,1.3022,1.3227
2018-12-07,1.3024,1.3232
2018-12-10,1.2887,1.3083
2018-12-11,1.2944,1.3198
2018-12-12,1.2985,1.3199
2018-12-13,1.3174,1.3352
2018-12-14,1.2969,1.3021
2018-12-17,1.2949,1.2996
2018-12-18,1.2827,1.2926
2018-12-19,1.2687,1.2748
2018-12-20,1.2597,1.2782
2018-12-21,1.2454,1.2696
2018-12-24,1.2487,1.2831
2018-12-25,1.2408,1.2684
2018-12-26,1.235,1.2633
2018-12-27,1.2306,1.2494
2018-12-28,1.2382,1.251
2019-01-02,1.2226,1.2401
2019-01-03,1.2207,1.2345
2019-01-04,1.2474,1.2638
2019-01-07,1.2543,1.2874
2019-01-08,1.2517,1.2841
2019-01-09,1.2634,1.2877
2019-01-10,1.2612,1.2856
2019-01-11,1.2695,1.2954
2019-01-14,1.2592,1.2869
2019-01-15,1.282,1.3053
2019-01-16,1.2821,1.3023
2019-01-17,1.2756,1.2924
2019-01-18,1.2966,1.3055
2019-01-21,1.303,1.3131
2019-01-22,1.2874,1.2934
2019-01-23,1.2866,1.2956
2019-01-24,1.2932,1.3026
2019-01-25,1.3027,1.2968
2019-01-28,1.3024,1.2932
2019-01-29,1.3062,1.2773
2019-01-30,1.2967,1.2646
2019-01-31,1.309,1.2538
2019-02-01,1.326,1.2894
2019-02-11,1.3476,1.3218
2019-02-12,1.3564,1.3327
2019-02-13,1.381,1.3548
2019-02-14,1.3829,1.3608
2019-02-15,1.3593,1.3519
2019-02-18,1.3988,1.3995
2019-02-19,1.3966,1.4011
2019-02-20,1.401,1.4012
2019-02-21,1.3976,1.3987
2019-02-22,1.4263,1.434
2019-02-25,1.5041,1.5145
2019-02-26,1.4873,1.5132
2019-02-27,1.4851,1.5062
2019-02-28,1.4817,1.5084
2019-03-01,1.5115,1.5207
2019-03-04,1.5271,1.548
2019-03-05,1.5351,1.5887
2019-03-06,1.5468,1.617
2019-03-07,1.5321,1.6379
2019-03-08,1.476,1.5748
2019-03-11,1.5027,1.6368
2019-03-12,1.512,1.6648
2019-03-13,1.5006,1.6271
2019-03-14,1.4911,1.5891
2019-03-15,1.5083,1.6072
2019-03-18,1.5477,1.65
2019-03-19,1.5411,1.6561
2019-03-20,1.5416,1.6538
2019-03-21,1.5421,1.6766
2019-03-22,1.5409,1.6862
2019-03-25,1.5072,1.6646
2019-03-26,1.4916,1.618
2019-03-27,1.5074,1.6335
2019-03-28,1.5019,1.6105
2019-03-29,1.5551,1.6639
2019-04-01,1.5926,1.7272
2019-04-02,1.5916,1.7325
2019-04-03,1.6103,1.7507
2019-04-04,1.6252,1.7616
2019-04-08,1.6237,1.7538
2019-04-09,1.6303,1.7568
2019-04-10,1.6341,1.7552
2019-04-11,1.6014,1.7183
2019-04-12,1.598,1.7139
2019-04-15,1.593,1.6962
2019-04-16,1.6338,1.7323
2019-04-17,1.6344,1.7415
2019-04-18,1.6288,1.7317
2019-04-19,1.6466,1.7421
2019-04-22,1.6116,1.716
2019-04-23,1.6091,1.688
2019-04-24,1.6131,1.7035
2019-04-25,1.5805,1.6376
2019-04-26,1.561,1.6229
2019-04-29,1.5651,1.5803
2019-04-30,1.5699,1.5921
2019-05-06,1.4853,1.4713
2019-05-07,1.4987,1.4911
2019-05-08,1.479,1.4844
2019-05-09,1.454,1.4667
2019-05-10,1.5023,1.5194
2019-05-13,1.4794,1.5013
2019-05-14,1.4707,1.49
2019-05-15,1.5012,1.5231
2019-05-16,1.5074,1.5328
2019-05-17,1.4721,1.4833
2019-05-20,1.4607,1.4777
2019-05-21,1.4789,1.5042
2019-05-22,1.4724,1.4944
2019-05-23,1.4498,1.464
2019-05-24,1.4539,1.4553
2019-05-27,1.4704,1.4921
2019-05-28,1.4838,1.49
2019-05-29,1.4809,1.4906
2019-05-30,1.4732,1.4813
2019-05-31,1.4697,1.4773
2019-06-03,1.4711,1.4603
2019-06-04,1.4588,1.4431
2019-06-05,1.4586,1.441
2019-06-06,1.4471,1.4102
2019-06-10,1.4641,1.4245
2019-06-11,1.5053,1.478
2019-06-12,1.4951,1.467
2019-06-13,1.4931,1.4719
2019-06-14,1.4824,1.4427
2019-06-17,1.4822,1.4449
2019-06-18,1.4871,1.4433
2019-06-19,1.5074,1.4628
2019-06-20,1.5493,1.493
2019-06-21,1.5514,1.5134
2019-06-24,1.5542,1.5143
2019-06-25,1.5395,1.4993
2019-06-26,1.5374,1.4965
2019-06-27,1.5532,1.5101
2019-06-28,1.551,1.4937
2019-07-01,1.592,1.539
2019-07-02,1.5925,1.5341
2019-07-03,1.5772,1.521
2019-07-04,1.5697,1.5164
2019-07-05,1.5783,1.5227
2019-07-08,1.5449,1.4708
2019-07-09,1.5422,1.4739
2019-07-10,1.5404,1.463
2019-07-11,1.5411,1.4632
2019-07-12,1.5522,1.4693
2019-07-15,1.558,1.4887
2019-07-16,1.5516,1.491
2019-07-17,1.5511,1.4902
2019-07-18,1.5381,1.4651
2019-07-19,1.5534,1.4755
2019-07-22,1.544,1.4453
2019-07-23,1.5478,1.4594
2019-07-24,1.5591,1.4743
2019-07-25,1.5709,1.48
2019-07-26,1.574,1.4821
2019-07-29,1.5723,1.4817
2019-07-30,1.5783,1.4899
2019-07-31,1.5656,1.4842
2019-08-01,1.5536,1.4741
2019-08-02,1.5329,1.4558
2019-08-05,1.5059,1.4385
2019-08-06,1.492,1.4075
2019-08-07,1.4863,1.4004
2019-08-08,1.5047,1.4093
2019-08-09,1.4913,1.3925
2019-08-12,1.516,1.418
2019-08-13,1.5034,1.4102
2019-08-14,1.5097,1.4182
2019-08-15,1.5148,1.4254
2019-08-16,1.5211,1.4305
2019-08-19,1.5514,1.4768
2019-08-20,1.5502,1.4761
2019-08-21,1.5479,1.479
2019-08-22,1.5525,1.4805
2019-08-23,1.5627,1.4806
2019-08-26,1.542,1.4706
2019-08-27,1.5613,1.4951
2019-08-28,1.5558,1.493
2019-08-29,1.5512,1.4946
2019-08-30,1.5547,1.48
2019-09-02,1.5729,1.5173
2019-09-03,1.5749,1.5278
2019-09-04,1.588,1.5427
2019-09-05,1.6028,1.5572
2019-09-06,1.6114,1.5619
2019-09-09,1.6206,1.5947
2019-09-10,1.6154,1.5894
2019-09-11,1.6044,1.5812
2019-09-12,1.6203,1.589
2019-09-16,1.6147,1.5908
2019-09-17,1.5898,1.5575
2019-09-18,1.5969,1.5577
2019-09-19,1.6022,1.5727
2019-09-20,1.6064,1.5766
2019-09-23,1.5893,1.5665
2019-09-24,1.5933,1.5695
2019-09-25,1.5819,1.5413
2019-09-26,1.5706,1.5062
2019-09-27,1.5749,1.5166
2019-09-30,1.5605,1.497
2019-10-08,1.569,1.497
2019-10-09,1.571,1.5093
2019-10-10,1.5828,1.5284
2019-10-11,1.5968,1.5315
2019-10-14,1.6124,1.5543
2019-10-15,1.606,1.5332
2019-10-16,1.6008,1.5261
2019-10-17,1.6017,1.5233
2019-10-18,1.5807,1.5025
2019-10-21,1.5849,1.4993
2019-10-22,1.5906,1.516
2019-10-23,1.5812,1.5045
2019-10-24,1.581,1.502
2019-10-25,1.5909,1.5133
2019-10-28,1.6021,1.5404
2019-10-29,1.5959,1.5174
2019-10-30,1.5887,1.4992
2019-10-31,1.587,1.49
2019-11-01,1.6117,1.5036
2019-11-04,1.6213,1.5112
2019-11-05,1.6306,1.5226
2019-11-06,1.6238,1.507
2019-11-07,1.6264,1.5171
2019-11-08,1.6193,1.5117
2019-11-11,1.5929,1.4777
2019-11-12,1.5931,1.4789
2019-11-13,1.5917,1.477
2019-11-14,1.5939,1.4881
2019-11-15,1.583,1.4752
2019-11-18,1.5946,1.4825
2019-11-19,1.6094,1.5076
2019-11-20,1.5946,1.4989
2019-11-21,1.5877,1.4986
2019-11-22,1.5728,1.4858
2019-11-25,1.5834,1.4852
2019-11-26,1.5884,1.4796
2019-11-27,1.5823,1.4861
2019-11-28,1.5773,1.4817
2019-11-29,1.5646,1.4834
2019-12-02,1.5673,1.4866
2019-12-03,1.573,1.493
2019-12-04,1.5725,1.4916
2019-12-05,1.5835,1.5062
2019-12-06,1.5906,1.5189
2019-12-09,1.5879,1.5236
2019-12-10,1.59,1.5314
2019-12-11,1.5911,1.5252
2019-12-12,1.5868,1.5218
2019-12-13,1.6156,1.541
2019-12-16,1.6226,1.5687
2019-12-17,1.6426,1.5906
2019-12-18,1.6393,1.5902
2019-12-19,1.6373,1.5923
2019-12-20,1.6336,1.5753
2019-12-23,1.615,1.5443
2019-12-24,1.6245,1.5675
2019-12-25,1.6236,1.5736
2019-12-26,1.6366,1.5846
2019-12-27,1.6352,1.573
2019-12-30,1.6572,1.5922
2019-12-31,1.6627,1.6
