,510300.XSHG,510500.XSHG
2015-08-03,1.4785,2.1331
2015-08-04,1.5227,2.2483
2015-08-05,1.4924,2.2194
2015-08-06,1.4795,2.2063
2015-08-07,1.5075,2.2696
2015-08-10,1.5733,2.3787
2015-08-11,1.5666,2.3895
2015-08-12,1.5477,2.362
2015-08-13,1.5694,2.4186
2015-08-14,1.5687,2.4448
2015-08-17,1.57,2.4999
2015-08-18,1.4766,2.3131
2015-08-19,1.4992,2.3653
2015-08-20,1.4528,2.2852
2015-08-21,1.3889,2.1629
2015-08-24,1.2722,1.989
2015-08-25,1.1859,1.8384
2015-08-26,1.1795,1.7691
2015-08-27,1.2466,1.8316
2015-08-28,1.2976,1.9428
2015-08-31,1.3072,1.8672
2015-09-01,1.3056,1.748
2015-09-02,1.3072,1.7345
2015-09-07,1.2643,1.7462
2015-09-08,1.2954,1.8168
2015-09-09,1.3199,1.8683
2015-09-10,1.3041,1.8379
2015-09-11,1.3,1.854
2015-09-14,1.275,1.7289
2015-09-15,1.2271,1.6331
2015-09-16,1.2859,1.7429
2015-09-17,1.2592,1.7107
2015-09-18,1.265,1.7327
2015-09-21,1.2867,1.7948
2015-09-22,1.2984,1.8084
2015-09-23,1.2707,1.7879
2015-09-24,1.279,1.8139
2015-09-25,1.2592,1.7546
2015-09-28,1.2633,1.7866
2015-09-29,1.2395,1.7533
2015-09-30,1.2486,1.7591
2015-10-08,1.2834,1.8304
2015-10-09,1.2997,1.8583
2015-10-12,1.3401,1.9306
2015-10-13,1.3391,1.9553
2015-10-14,1.3247,1.9337
2015-10-15,1.3548,1.9933
2015-10-16,1.3724,2.0274
2015-10-19,1.3725,2.0275
2015-10-20,1.3889,2.0614
2015-10-21,1.35,1.9338
2015-10-22,1.3692,2.008
2015-10-23,1.3868,2.0583
2015-10-26,1.3934,2.0738
2015-10-27,1.3949,2.0876
2015-10-28,1.3694,2.0362
2015-10-29,1.3726,2.0541
2015-10-30,1.373,2.0476
2015-11-02,1.3512,2.0058
2015-11-03,1.3473,2.0017
2015-11-04,1.4083,2.1023
2015-11-05,1.4369,2.1044
2015-11-06,1.4695,2.1533
2015-11-09,1.4869,2.1811
2015-11-10,1.4843,2.1895
2015-11-11,1.4845,2.2212
2015-11-12,1.4702,2.2203
2015-11-13,1.452,2.1876
2015-11-16,1.4594,2.2309
2015-11-17,1.4572,2.2105
2015-11-18,1.4413,2.1744
2015-11-19,1.4634,2.2298
2015-11-20,1.4632,2.2551
2015-11-23,1.4552,2.237
2015-11-24,1.4555,2.2526
2015-11-25,1.4658,2.2882
2015-11-26,1.4575,2.2739
2015-11-27,1.3822,2.1298
2015-11-30,1.3858,2.1392
2015-12-01,1.395,2.1494
2015-12-02,1.4432,2.1387
2015-12-03,1.4535,2.186
2015-12-04,1.4268,2.1695
2015-12-07,1.4304,2.1945
2015-12-08,1.4063,2.1375
2015-12-09,1.4111,2.1292
2015-12-10,1.4066,2.123
2015-12-11,1.4008,2.1067
2015-12-14,1.4393,2.1501
2015-12-15,1.4329,2.1669
2015-12-16,1.4296,2.1759
2015-12-17,1.4558,2.2297
2015-12-18,1.4603,2.2247
2015-12-21,1.4968,2.2503
