open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20
3.92,3.94,3.94,3.92,1849392.62,0.01,0.25,3.968,3.956,3.951,2592184.0,2808315.48,2724787.84
3.99,4.01,3.93,3.92,3081430.75,-0.06,-1.5,3.982,3.949,3.955,3013614.73,2886664.59,2723243.11
3.99,4.0,3.99,3.98,1936427.88,0.01,0.25,3.992,3.948,3.96,3009368.73,2846255.61,2677774.33
4.0,4.03,3.98,3.98,3143663.5,-0.02,-0.5,3.98,3.94,3.961,3094753.65,2969707.75,2733050.71
4.01,4.01,4.0,4.0,2950005.25,-0.01,-0.25,3.966,3.935,3.963,2967600.25,2890317.83,2660213.96
4.0,4.05,4.01,4.0,3956546.25,0.03,0.75,3.944,3.931,3.965,3024446.95,2806799.33,2654136.4
3.94,3.99,3.98,3.93,3060200.75,0.05,1.27,3.916,3.926,3.966,2759714.45,2701036.83,2588323.78
3.9,3.94,3.93,3.89,2363352.5,0.02,0.51,3.904,3.927,3.966,2683142.5,2627521.08,2699014.59
3.89,3.91,3.91,3.86,2507896.5,0.02,0.51,3.9,3.933,3.968,2844661.85,2633363.63,2727727.24
3.87,3.92,3.89,3.87,3234238.75,0.02,0.52,3.904,3.939,3.968,2813035.4,2583605.08,2718005.06
3.91,3.92,3.87,3.86,2632883.75,-0.05,-1.28,3.918,3.945,3.968,2589151.7,2641260.2,2707265.23
3.91,3.92,3.92,3.9,2677341.0,0.01,0.26,3.936,3.96,3.968,2642359.2,2559821.63,2713761.93
3.95,3.96,3.91,3.9,3170949.25,-0.02,-0.51,3.95,3.972,3.964,2571899.65,2509293.05,2696859.0
3.95,3.96,3.93,3.93,2349764.25,-0.03,-0.76,3.966,3.981,3.962,2422065.4,2496393.68,2625290.53
3.96,4.0,3.96,3.95,2114820.25,0.0,0.0,3.974,3.991,3.959,2354174.75,2430110.1,2690890.32
3.98,3.98,3.96,3.94,2898921.25,-0.03,-0.75,3.972,3.999,3.952,2693368.7,2501473.48,2718894.42
3.99,4.0,3.99,3.99,2325043.25,0.0,0.0,3.984,4.005,3.948,2477284.05,2475610.73,2716789.39
3.98,3.99,3.99,3.96,2421778.0,0.02,0.5,3.994,4.005,3.941,2446686.45,2770508.1,2732926.48
3.97,3.99,3.97,3.96,2010311.0,0.02,0.51,3.996,4.002,3.934,2570721.95,2822090.85,2732960.18
4.02,4.02,3.95,3.94,3810790.0,-0.07,-1.74,4.008,3.996,3.927,2506045.45,2852405.05,2735900.68
4.05,4.05,4.02,4.0,1818498.0,-0.02,-0.49,4.026,3.991,3.923,2309578.25,2773270.25,2709332.78
4.01,4.05,4.04,4.0,2172055.25,0.04,1.0,4.026,3.975,3.91,2473937.4,2867702.23,2747114.14
4.04,4.04,4.0,3.99,3041955.5,-0.03,-0.74,4.016,3.956,3.896,3094329.75,2884424.95,2760664.46
4.03,4.04,4.03,4.01,1686928.5,-0.01,-0.25,4.008,3.942,3.883,3073459.75,2754187.39,2705416.96
4.05,4.06,4.04,4.02,2828454.0,0.02,0.5,3.984,3.926,3.867,3198764.65,2951670.54,2698745.03
4.01,4.02,4.02,3.99,2640293.75,0.03,0.75,3.956,3.905,3.853,3236962.25,2936315.36,2647380.12
3.97,4.05,3.99,3.97,5274017.0,0.03,0.76,3.924,3.891,3.837,3261467.05,2957968.06,2620847.39
3.91,3.96,3.96,3.91,2937605.5,0.05,1.28,3.896,3.877,3.824,2674520.15,2695344.86,2497639.02
3.91,3.91,3.91,3.89,2313453.0,0.01,0.26,3.876,3.865,3.81,2434915.03,2643829.51,2490049.33
3.86,3.92,3.9,3.86,3019442.0,0.04,1.04,3.868,3.858,3.799,2704576.43,2619396.31,2666228.03
3.88,3.9,3.86,3.84,2762817.75,0.01,0.26,3.854,3.854,3.791,2635668.48,2645395.31,2692363.26
3.87,3.87,3.85,3.83,2339282.5,-0.01,-0.26,3.858,3.845,3.788,2654469.08,2626526.06,2799529.34
3.87,3.88,3.86,3.85,1739579.88,-0.01,-0.26,3.858,3.835,3.789,2716169.58,2636903.96,2838798.04
3.85,3.91,3.87,3.85,3661760.0,0.04,1.04,3.854,3.823,3.791,2852744.0,2656646.53,2860030.48
3.82,3.85,3.83,3.82,2674902.25,-0.05,-1.29,3.848,3.808,3.793,2534216.2,2445819.53,2796769.9
3.85,3.89,3.88,3.84,2856820.75,0.03,0.78,3.854,3.801,3.797,2655122.15,2358444.88,2786575.86
3.85,3.86,3.85,3.83,2647785.0,0.01,0.26,3.832,3.783,3.799,2598583.05,2283726.73,2786630.28
3.84,3.85,3.84,3.84,2422452.0,0.0,0.0,3.812,3.771,3.802,2557638.35,2299933.18,2771055.81
3.85,3.87,3.84,3.84,2069121.0,-0.02,-0.52,3.792,3.754,3.803,2460549.05,2336269.15,2798655.91
3.8,3.86,3.86,3.78,3279432.0,0.09,2.39,3.768,3.74,3.803,2357422.85,2713059.75,2778714.37
3.75,3.8,3.77,3.74,2574125.25,0.02,0.53,3.748,3.728,3.802,2061767.6,2739331.2,2769174.39
3.68,3.76,3.75,3.68,2443061.5,0.01,0.27,3.734,3.731,3.806,1968870.4,2972532.63,2800437.19
3.77,3.77,3.74,3.74,1937005.5,0.02,0.54,3.73,3.742,3.81,2042228.0,3040692.13,2793558.82
3.73,3.74,3.72,3.71,1553490.0,-0.04,-1.06,3.716,3.758,3.815,2211989.25,3063414.43,2806691.94
3.71,3.76,3.76,3.7,1801155.75,0.06,1.62,3.712,3.778,3.822,3068696.65,3147720.28,2820461.14
3.74,3.75,3.7,3.69,2109639.25,-0.03,-0.8,3.708,3.793,3.827,3416894.8,3214706.85,2954633.91
3.7,3.73,3.73,3.7,2809849.5,0.06,1.64,3.728,3.814,3.835,3976194.85,3289533.83,2972157.33
3.71,3.71,3.67,3.67,2785811.75,-0.03,-0.81,3.754,3.832,3.84,4039156.25,3242178.45,2948927.07
3.68,3.7,3.7,3.64,5837027.0,-0.04,-1.07,3.8,3.852,3.847,3914839.6,3261042.68,2896876.14
3.79,3.79,3.74,3.73,3542146.5,-0.06,-1.58,3.844,3.866,3.853,3226743.9,2844368.99,2714197.82
3.79,3.81,3.8,3.77,4906139.5,-0.06,-1.55,3.878,3.875,3.858,3012518.9,2799017.59,2748356.15
3.88,3.89,3.86,3.85,3124656.5,-0.04,-1.03,3.9,3.881,3.864,2602872.8,2628341.76,2621151.14
3.91,3.91,3.9,3.89,2164228.5,-0.02,-0.51,3.91,3.877,3.866,2445200.65,2546425.51,2657929.17
3.91,3.95,3.92,3.91,2396548.5,0.01,0.26,3.904,3.872,3.867,2607245.75,2549969.46,2675637.0
3.91,3.91,3.91,3.89,2471021.5,0.0,0.0,3.888,3.865,3.869,2461994.07,2493202.01,2722731.36
3.89,3.92,3.91,3.89,2857909.0,0.0,0.0,3.872,3.861,3.871,2585516.27,2694560.96,2854313.29
3.87,3.91,3.91,3.87,2336295.75,0.04,1.03,3.862,3.856,3.869,2653810.72,2654780.84,2904552.35
3.85,3.9,3.87,3.85,2974454.0,0.03,0.78,3.844,3.847,3.866,2647650.37,2655675.69,3024275.96
3.84,3.85,3.84,3.82,1670290.12,0.01,0.26,3.84,3.842,3.864,2492693.17,2532709.6,2995657.46
3.86,3.87,3.83,3.81,3088632.5,-0.03,-0.78,3.842,3.84,3.863,2524409.95,2584026.66,3164994.68
3.83,3.88,3.86,3.83,3199381.25,0.04,1.05,3.85,3.84,3.864,2803605.65,2697694.71,3164290.08
3.83,3.84,3.82,3.82,2305494.0,-0.03,-0.78,3.85,3.846,3.864,2655750.95,2613960.51,3215298.59
3.84,3.87,3.85,3.83,2199668.0,0.0,0.0,3.85,3.854,3.865,2663701.0,2769432.84,3430488.12
3.86,3.88,3.85,3.85,1828874.0,-0.02,-0.52,3.844,3.862,3.859,2572726.02,2801304.54,3634955.47
3.84,3.9,3.87,3.79,4484611.0,0.01,0.26,3.838,3.873,3.851,2643643.37,2952260.71,3676197.06
3.82,3.87,3.86,3.82,2460107.75,0.04,1.05,3.83,3.881,3.841,2591783.77,3014065.61,3569569.58
3.84,3.87,3.82,3.81,2345244.25,0.0,0.0,3.842,3.881,3.831,2572170.07,3154323.86,3618821.17
3.84,3.85,3.82,3.81,1744793.12,0.0,0.0,3.858,3.885,3.825,2875164.67,3392876.24,3652173.54
3.84,3.84,3.82,3.81,2183460.75,-0.01,-0.26,3.88,3.885,3.819,3029883.05,3458605.33,3694796.34
3.9,3.9,3.83,3.8,4225313.0,-0.09,-2.3,3.908,3.885,3.814,3260878.05,3745962.7,3819021.48
3.9,3.93,3.92,3.89,2362039.25,0.02,0.51,3.932,3.888,3.803,3436347.45,3630885.45,3775504.6
3.92,3.94,3.9,3.88,3860217.25,-0.03,-0.76,3.92,3.881,3.786,3736477.65,3816636.68,3840436.34
3.95,3.95,3.93,3.91,2518385.0,-0.03,-0.76,3.912,3.875,3.771,3910587.8,4091543.4,3811707.7
3.95,3.97,3.96,3.94,3338435.75,0.01,0.25,3.89,3.856,3.755,3887327.6,4468606.4,3848949.9
3.92,3.97,3.95,3.91,5102660.0,0.09,2.33,3.862,3.828,3.739,4231047.35,4400133.4,3847434.64
3.86,3.86,3.86,3.83,3862690.25,0.0,0.0,3.844,3.8,3.723,3825423.45,4125073.55,3730316.69
3.82,3.88,3.86,3.82,4730768.0,0.04,1.05,3.842,3.781,3.712,3896795.7,4083318.48,3689895.36
3.8,3.83,3.82,3.79,2402084.0,0.0,0.0,3.838,3.764,3.702,4272499.0,3911470.85,3599783.28
3.86,3.86,3.82,3.77,5057034.5,-0.04,-1.04,3.822,3.752,3.693,5049885.2,3930987.35,3672212.7
3.86,3.87,3.86,3.83,3074540.5,0.01,0.26,3.794,3.743,3.684,4569219.45,3892080.25,3636911.53
3.86,3.88,3.85,3.83,4219551.5,0.01,0.26,3.756,3.718,3.67,4424723.65,3920123.75,3632889.1
3.73,3.88,3.84,3.73,6609284.5,0.1,2.67,3.72,3.69,3.657,4269841.25,3864236.0,3577215.68
3.77,3.81,3.74,3.73,6289015.0,0.06,1.63,3.69,3.666,3.647,3550442.7,3531872.0,3388505.46
3.68,3.69,3.68,3.65,2653705.75,0.01,0.27,3.682,3.653,3.642,2812089.5,3229293.4,3249246.18
3.66,3.7,3.67,3.66,2352061.5,0.0,0.0,3.692,3.649,3.639,3214941.05,3294735.88,3310673.26
3.69,3.72,3.67,3.66,3445139.5,-0.02,-0.54,3.68,3.645,3.638,3415523.85,3335559.83,3350765.58
3.7,3.71,3.69,3.66,3012291.75,-0.01,-0.27,3.66,3.643,3.641,3458630.75,3296472.25,3302227.3
3.72,3.72,3.7,3.69,2597249.0,-0.03,-0.8,3.642,3.639,3.642,3513301.3,3288095.7,3330369.59
3.62,3.74,3.73,3.62,4667963.5,0.12,3.32,3.624,3.634,3.638,3646497.3,3413438.05,3345541.41
3.58,3.64,3.61,3.58,3354975.5,0.04,1.12,3.606,3.624,3.634,3374530.7,3381742.8,3325031.74
3.6,3.61,3.57,3.57,3660674.0,-0.03,-0.83,3.61,3.622,3.64,3255595.8,3345654.45,3493281.21
3.63,3.64,3.6,3.6,3285644.5,-0.01,-0.28,3.626,3.623,3.642,3134313.75,3290195.35,3587274.01
3.64,3.65,3.61,3.59,3263229.0,-0.03,-0.82,3.636,3.627,3.645,3062890.1,3245138.93,3660678.19
3.65,3.68,3.64,3.61,3308130.5,0.01,0.28,3.644,3.631,3.65,3180378.8,3269198.95,3739316.59
3.64,3.68,3.63,3.63,2760301.0,-0.02,-0.55,3.642,3.628,3.651,3388954.9,3326610.65,4181171.41
3.65,3.65,3.65,3.61,3054263.75,0.0,0.0,3.634,3.63,3.665,3435713.1,3365971.33,4242786.78
3.64,3.69,3.65,3.63,2928526.25,0.0,0.0,3.62,3.638,3.677,3446076.95,3307982.35,4369761.39
3.63,3.68,3.65,3.63,3850672.5,0.02,0.55,3.618,3.644,3.688,3427387.75,3372643.48,4537740.0
3.59,3.65,3.63,3.55,4351011.0,0.04,1.11,3.618,3.642,3.702,3358019.1,3277644.78,4534484.15
3.59,3.62,3.59,3.57,2994092.0,0.01,0.28,3.614,3.644,3.722,3264266.4,3268320.68,4548494.93
3.63,3.63,3.58,3.58,3106083.0,-0.06,-1.65,3.626,3.657,3.743,3296229.55,3640907.98,4575390.36
3.65,3.66,3.64,3.62,2835080.25,-0.01,-0.27,3.656,3.66,3.765,3169887.75,3884352.68,4708840.54
3.61,3.69,3.65,3.6,3503829.25,0.04,1.11,3.67,3.662,3.789,3317899.2,4076217.45,4796005.83
3.63,3.64,3.61,3.58,3882247.5,-0.04,-1.1,3.666,3.668,3.809,3197270.45,4209434.23,4799290.29
3.73,3.73,3.65,3.63,3153907.75,-0.08,-2.15,3.674,3.674,3.832,3272374.95,5035732.18,4814253.68
3.71,3.74,3.73,3.69,2474374.0,0.02,0.54,3.688,3.699,3.854,3985586.4,5119602.23,4991100.89
3.66,3.74,3.71,3.66,3575137.5,0.08,2.2,3.664,3.715,3.865,4598817.6,5431540.43,5228672.34
3.63,3.68,3.63,3.62,2900685.5,-0.02,-0.55,3.654,3.732,3.879,4834535.7,5702836.53,5191114.9
3.69,3.69,3.65,3.64,4257770.0,-0.07,-1.88,3.67,3.762,3.897,5221598.0,5791323.53,5297132.7
3.64,3.73,3.72,3.57,6719965.0,0.11,3.05,3.674,3.799,3.918,6799089.4,5828669.18,5277241.51
3.64,3.65,3.61,3.57,5540530.0,-0.05,-1.37,3.71,3.828,3.935,6253618.05,5509872.75,5126855.15
3.66,3.72,3.66,3.64,4753728.0,-0.05,-1.35,3.766,3.869,3.957,6264263.25,5533328.4,5231802.83
3.69,3.73,3.71,3.67,4835997.0,0.04,1.09,3.81,3.915,3.977,6571137.35,5515794.2,5254801.48
3.78,3.79,3.67,3.64,12145227.0,-0.23,-5.9,3.854,3.95,3.992,6361049.05,5389146.35,5284010.6
3.89,3.91,3.9,3.88,3992608.25,0.01,0.26,3.924,3.99,4.007,4858248.95,4592775.18,4868719.28
3.89,3.95,3.89,3.87,5593756.0,0.01,0.26,3.946,4.008,4.01,4766127.45,4862599.55,5014606.71
3.92,3.94,3.88,3.87,6288098.5,-0.05,-1.27,3.972,4.015,4.009,4802393.55,5025804.25,5052119.74
4.0,4.01,3.93,3.93,3785555.5,-0.09,-2.24,4.02,4.025,4.001,4460451.05,4679393.28,4866157.03
4.02,4.03,4.02,3.95,4631226.5,0.01,0.25,4.046,4.032,3.991,4417243.65,4802941.88,4852248.93
4.01,4.05,4.01,3.99,3532000.75,-0.01,-0.25,4.056,4.037,3.975,4327301.4,4725813.85,4780757.61
4.12,4.12,4.02,4.0,5775086.5,-0.1,-2.43,4.07,4.042,3.961,4959071.65,4743837.55,4822133.03
4.06,4.12,4.12,4.03,4578386.0,0.06,1.48,4.058,4.044,3.952,5249214.95,4930277.25,4684570.91
4.07,4.08,4.06,4.05,3569518.5,-0.01,-0.25,4.03,4.038,3.937,4898335.5,4993808.75,4645657.96
4.08,4.1,4.07,4.04,4181515.25,-0.01,-0.24,4.018,4.034,3.925,5188640.1,5178874.85,4631128.7
3.94,4.08,4.08,3.93,6690852.0,0.12,3.03,4.018,4.023,3.912,5124326.3,5144663.38,4620596.18
4.04,4.07,3.96,3.96,7225803.0,-0.02,-0.5,4.014,4.012,3.901,4528603.45,5166613.88,4571761.4
3.98,4.0,3.98,3.95,2823988.75,-0.02,-0.5,4.03,4.003,3.89,4611339.55,5078435.23,4403974.04
4.07,4.08,4.0,3.97,5021041.5,-0.07,-1.72,4.046,3.977,3.875,5089282.0,5052920.78,4443828.56
4.04,4.11,4.07,4.02,3859946.25,0.01,0.25,4.05,3.95,3.861,5169109.6,4901555.98,4434393.29
4.04,4.08,4.06,4.02,3712237.75,0.02,0.49,4.028,3.913,3.844,5165000.45,4835701.38,4506768.48
4.1,4.13,4.04,4.0,7639483.5,-0.02,-0.49,4.01,3.88,3.827,5804624.3,4900428.5,4547309.56
4.03,4.07,4.06,4.01,5213701.0,0.04,0.99,3.976,3.859,3.808,5545530.9,4438864.58,4433374.21
3.94,4.03,4.02,3.94,5420179.5,0.06,1.51,3.908,3.835,3.794,5016559.55,4297507.18,4481899.66
3.97,3.99,3.96,3.95,3839400.5,-0.01,-0.25,3.85,3.815,3.785,4634002.35,4083382.55,4501138.64
3.89,3.97,3.97,3.89,6910357.0,0.1,2.58,3.798,3.801,3.778,4506402.3,4096528.98,4530720.36
3.73,3.88,3.87,3.73,6344016.5,0.15,4.03,3.75,3.789,3.768,3996232.7,3976908.93,4515367.79
3.71,3.74,3.72,3.7,2568844.25,-0.01,-0.27,3.742,3.776,3.762,3332198.25,3729512.85,4524535.74
3.71,3.74,3.73,3.7,3507393.5,0.03,0.81,3.762,3.773,3.759,3578454.8,3834736.35,4627542.48
3.75,3.76,3.7,3.68,3201400.25,-0.03,-0.8,3.78,3.771,3.756,3532762.75,3967230.6,4751890.73
3.77,3.8,3.73,3.73,4359509.0,-0.1,-2.61,3.804,3.775,3.755,3686655.65,4177835.58,4982822.51
3.82,3.84,3.83,3.77,3023844.25,0.01,0.26,3.828,3.773,3.758,3957585.15,4194190.63,5340506.96
3.83,3.85,3.82,3.81,3800127.0,0.0,0.0,3.81,3.756,3.743,4126827.45,4427883.85,5485375.6
3.82,3.85,3.82,3.78,3278933.25,0.0,0.0,3.784,3.753,3.723,4091017.9,4666292.15,5613015.7
3.85,3.86,3.82,3.81,3970864.75,-0.03,-0.78,3.762,3.755,3.704,4401698.45,4918894.73,5754876.29
3.74,3.85,3.85,3.73,5714156.5,0.11,2.94,3.746,3.754,3.685,4669015.5,4964911.75,5895448.33
3.7,3.78,3.74,3.7,3870055.75,0.05,1.35,3.718,3.747,3.664,4430796.1,5053826.65,5845293.68
3.71,3.73,3.69,3.67,3621079.25,-0.02,-0.54,3.702,3.747,3.644,4728940.25,5319558.63,5875764.31
3.74,3.75,3.71,3.69,4832336.0,-0.03,-0.8,3.722,3.744,3.63,5241566.4,5420348.6,5884588.39
